nohup: ignoring input
[progress] wrote=3630000 skipped=93121 rows/sec=3705.7
[progress] wrote=3640000 skipped=93393 rows/sec=3711.5
[progress] wrote=3650000 skipped=93622 rows/sec=3666.2
[progress] wrote=3660000 skipped=93860 rows/sec=3671.9
[progress] wrote=3670000 skipped=94138 rows/sec=3677.6
[progress] wrote=3680000 skipped=94394 rows/sec=3683.2
[progress] wrote=3690000 skipped=94651 rows/sec=3688.8
[progress] wrote=3700000 skipped=94887 rows/sec=3694.5
[progress] wrote=3710000 skipped=95135 rows/sec=3700.1
[progress] wrote=3720000 skipped=95392 rows/sec=3705.8
[progress] wrote=3730000 skipped=95612 rows/sec=3711.4
[progress] wrote=3740000 skipped=95895 rows/sec=3717.0
[progress] wrote=3750000 skipped=96162 rows/sec=3722.6
[progress] wrote=3760000 skipped=96427 rows/sec=3728.1
[progress] wrote=3770000 skipped=96694 rows/sec=3733.7
[progress] wrote=3780000 skipped=96974 rows/sec=3739.2
[progress] wrote=3790000 skipped=97235 rows/sec=3744.8
[progress] wrote=3800000 skipped=97485 rows/sec=3708.7
[progress] wrote=3810000 skipped=97731 rows/sec=3714.2
[progress] wrote=3820000 skipped=97997 rows/sec=3719.6
[progress] wrote=3830000 skipped=98255 rows/sec=3724.9
[progress] wrote=3840000 skipped=98485 rows/sec=3730.3
[progress] wrote=3850000 skipped=98755 rows/sec=3735.7
[progress] wrote=3860000 skipped=99031 rows/sec=3741.1
[progress] wrote=3870000 skipped=99292 rows/sec=3746.5
[progress] wrote=3880000 skipped=99565 rows/sec=3751.9
[progress] wrote=3890000 skipped=99813 rows/sec=3757.3
[progress] wrote=3900000 skipped=100080 rows/sec=3762.7
[progress] wrote=3910000 skipped=100334 rows/sec=3768.1
[progress] wrote=3920000 skipped=100588 rows/sec=3773.5
[progress] wrote=3930000 skipped=100829 rows/sec=3778.8
[progress] wrote=3940000 skipped=101071 rows/sec=3784.2
[progress] wrote=3950000 skipped=101334 rows/sec=3721.2
[progress] wrote=3960000 skipped=101598 rows/sec=3726.5
[progress] wrote=3970000 skipped=101830 rows/sec=3731.7
[progress] wrote=3980000 skipped=102110 rows/sec=3737.0
[progress] wrote=3990000 skipped=102357 rows/sec=3742.2
[progress] wrote=4000000 skipped=102619 rows/sec=3747.5
[progress] wrote=4010000 skipped=102875 rows/sec=3752.7
